,연료원,전력거래량,Year,Month,Day
0,LNG,15907,2021,1,1
1,바이오,50,2021,1,1
2,연료전지,1241,2021,1,1
3,태양광,39,2021,1,1
4,폐기물,492,2021,1,1
5,LNG,15651,2021,1,2
6,바이오,50,2021,1,2
7,연료전지,1236,2021,1,2
8,태양광,50,2021,1,2
9,폐기물,481,2021,1,2
10,LNG,16230,2021,1,3
11,바이오,50,2021,1,3
12,연료전지,1226,2021,1,3
13,태양광,34,2021,1,3
14,폐기물,492,2021,1,3
15,LNG,17804,2021,1,4
16,바이오,50,2021,1,4
17,연료전지,1221,2021,1,4
18,태양광,31,2021,1,4
19,폐기물,421,2021,1,4
20,LNG,17730,2021,1,5
21,바이오,50,2021,1,5
22,연료전지,1242,2021,1,5
23,태양광,47,2021,1,5
24,폐기물,316,2021,1,5
25,LNG,18108,2021,1,6
26,바이오,50,2021,1,6
27,연료전지,1249,2021,1,6
28,태양광,51,2021,1,6
29,폐기물,305,2021,1,6
30,LNG,18290,2021,1,7
31,바이오,50,2021,1,7
32,연료전지,1241,2021,1,7
33,태양광,18,2021,1,7
34,폐기물,261,2021,1,7
35,LNG,18563,2021,1,8
36,바이오,42,2021,1,8
37,연료전지,1192,2021,1,8
38,태양광,22,2021,1,8
39,폐기물,289,2021,1,8
40,LNG,17941,2021,1,9
41,바이오,50,2021,1,9
42,연료전지,1192,2021,1,9
43,태양광,33,2021,1,9
44,폐기물,297,2021,1,9
45,LNG,16548,2021,1,10
46,바이오,49,2021,1,10
47,연료전지,1192,2021,1,10
48,태양광,34,2021,1,10
49,폐기물,296,2021,1,10
50,LNG,17950,2021,1,11
51,바이오,48,2021,1,11
52,연료전지,1192,2021,1,11
53,태양광,13,2021,1,11
54,폐기물,301,2021,1,11
55,LNG,16706,2021,1,12
56,바이오,49,2021,1,12
57,연료전지,1197,2021,1,12
58,태양광,24,2021,1,12
59,폐기물,295,2021,1,12
60,LNG,15985,2021,1,13
61,바이오,50,2021,1,13
62,연료전지,1219,2021,1,13
63,태양광,24,2021,1,13
64,폐기물,341,2021,1,13
65,LNG,16902,2021,1,14
66,바이오,50,2021,1,14
67,연료전지,1253,2021,1,14
68,태양광,42,2021,1,14
69,폐기물,472,2021,1,14
70,LNG,16828,2021,1,15
71,바이오,50,2021,1,15
72,연료전지,1254,2021,1,15
73,태양광,9,2021,1,15
74,폐기물,462,2021,1,15
75,LNG,17295,2021,1,16
76,바이오,50,2021,1,16
77,연료전지,1252,2021,1,16
78,태양광,50,2021,1,16
79,폐기물,424,2021,1,16
80,LNG,14346,2021,1,17
81,바이오,50,2021,1,17
82,연료전지,1244,2021,1,17
83,태양광,44,2021,1,17
84,폐기물,457,2021,1,17
85,LNG,16923,2021,1,18
86,바이오,50,2021,1,18
87,연료전지,1243,2021,1,18
88,태양광,16,2021,1,18
89,폐기물,443,2021,1,18
90,LNG,16888,2021,1,19
91,바이오,50,2021,1,19
92,연료전지,1254,2021,1,19
93,태양광,55,2021,1,19
94,폐기물,453,2021,1,19
95,LNG,16385,2021,1,20
96,바이오,50,2021,1,20
97,연료전지,1248,2021,1,20
98,태양광,51,2021,1,20
99,폐기물,382,2021,1,20
100,LNG,16412,2021,1,21
101,바이오,50,2021,1,21
102,연료전지,1237,2021,1,21
103,태양광,9,2021,1,21
104,폐기물,305,2021,1,21
105,LNG,15997,2021,1,22
106,바이오,59,2021,1,22
107,연료전지,1250,2021,1,22
108,태양광,9,2021,1,22
109,폐기물,311,2021,1,22
110,LNG,14981,2021,1,23
111,바이오,83,2021,1,23
112,연료전지,1272,2021,1,23
113,태양광,37,2021,1,23
114,폐기물,310,2021,1,23
115,LNG,14754,2021,1,24
116,바이오,81,2021,1,24
117,연료전지,1272,2021,1,24
118,태양광,53,2021,1,24
119,폐기물,255,2021,1,24
120,LNG,15427,2021,1,25
121,바이오,85,2021,1,25
122,연료전지,1257,2021,1,25
123,태양광,45,2021,1,25
124,폐기물,326,2021,1,25
125,LNG,16179,2021,1,26
126,바이오,87,2021,1,26
127,연료전지,1264,2021,1,26
128,태양광,5,2021,1,26
129,폐기물,433,2021,1,26
130,LNG,15942,2021,1,27
131,바이오,85,2021,1,27
132,연료전지,1265,2021,1,27
133,태양광,53,2021,1,27
134,폐기물,474,2021,1,27
135,LNG,16981,2021,1,28
136,바이오,86,2021,1,28
137,연료전지,1246,2021,1,28
138,태양광,22,2021,1,28
139,폐기물,470,2021,1,28
140,LNG,16857,2021,1,29
141,바이오,92,2021,1,29
142,연료전지,1227,2021,1,29
143,태양광,62,2021,1,29
144,폐기물,435,2021,1,29
145,LNG,17023,2021,1,30
146,바이오,100,2021,1,30
147,연료전지,1235,2021,1,30
148,태양광,41,2021,1,30
149,폐기물,493,2021,1,30
150,LNG,15507,2021,1,31
151,바이오,98,2021,1,31
152,연료전지,1230,2021,1,31
153,태양광,44,2021,1,31
154,폐기물,496,2021,1,31
155,LNG,16448,2021,2,1
156,바이오,93,2021,2,1
157,연료전지,1212,2021,2,1
158,태양광,24,2021,2,1
159,폐기물,496,2021,2,1
160,LNG,17025,2021,2,2
161,바이오,90,2021,2,2
162,연료전지,1232,2021,2,2
163,태양광,63,2021,2,2
164,폐기물,506,2021,2,2
165,LNG,16917,2021,2,3
166,바이오,99,2021,2,3
167,연료전지,1227,2021,2,3
168,태양광,50,2021,2,3
169,폐기물,488,2021,2,3
170,LNG,17046,2021,2,4
171,바이오,102,2021,2,4
172,연료전지,1218,2021,2,4
173,태양광,32,2021,2,4
174,폐기물,399,2021,2,4
175,LNG,17396,2021,2,5
176,바이오,102,2021,2,5
177,연료전지,1185,2021,2,5
178,태양광,34,2021,2,5
179,폐기물,303,2021,2,5
180,LNG,15988,2021,2,6
181,바이오,100,2021,2,6
182,연료전지,1214,2021,2,6
183,태양광,21,2021,2,6
184,폐기물,496,2021,2,6
185,LNG,15848,2021,2,7
186,바이오,98,2021,2,7
187,연료전지,1226,2021,2,7
188,태양광,44,2021,2,7
189,폐기물,505,2021,2,7
190,LNG,17511,2021,2,8
191,바이오,90,2021,2,8
192,연료전지,1231,2021,2,8
193,태양광,68,2021,2,8
194,폐기물,484,2021,2,8
195,LNG,16965,2021,2,9
196,바이오,101,2021,2,9
197,연료전지,1237,2021,2,9
198,태양광,64,2021,2,9
199,폐기물,205,2021,2,9
200,LNG,17155,2021,2,10
201,바이오,101,2021,2,10
202,연료전지,1230,2021,2,10
203,태양광,23,2021,2,10
204,폐기물,181,2021,2,10
205,LNG,14344,2021,2,11
206,바이오,97,2021,2,11
207,연료전지,1235,2021,2,11
208,태양광,43,2021,2,11
209,폐기물,219,2021,2,11
210,LNG,14014,2021,2,12
211,바이오,96,2021,2,12
212,연료전지,1232,2021,2,12
213,태양광,55,2021,2,12
214,폐기물,225,2021,2,12
215,LNG,16491,2021,2,13
216,바이오,97,2021,2,13
217,연료전지,1207,2021,2,13
218,태양광,55,2021,2,13
219,폐기물,245,2021,2,13
220,LNG,13866,2021,2,14
221,바이오,102,2021,2,14
222,연료전지,1206,2021,2,14
223,태양광,24,2021,2,14
224,폐기물,409,2021,2,14
225,LNG,14188,2021,2,15
226,바이오,102,2021,2,15
227,연료전지,1206,2021,2,15
228,태양광,39,2021,2,15
229,폐기물,393,2021,2,15
230,LNG,17431,2021,2,16
231,바이오,102,2021,2,16
232,연료전지,1220,2021,2,16
233,태양광,16,2021,2,16
234,폐기물,350,2021,2,16
235,LNG,16016,2021,2,17
236,바이오,87,2021,2,17
237,연료전지,1233,2021,2,17
238,태양광,71,2021,2,17
239,폐기물,246,2021,2,17
240,LNG,17742,2021,2,18
241,바이오,89,2021,2,18
242,연료전지,1230,2021,2,18
243,태양광,71,2021,2,18
244,폐기물,159,2021,2,18
245,LNG,16617,2021,2,19
246,바이오,94,2021,2,19
247,연료전지,1245,2021,2,19
248,태양광,56,2021,2,19
249,폐기물,149,2021,2,19
250,LNG,13962,2021,2,20
251,바이오,84,2021,2,20
252,연료전지,1231,2021,2,20
253,태양광,59,2021,2,20
254,폐기물,149,2021,2,20
255,LNG,14126,2021,2,21
256,바이오,80,2021,2,21
257,연료전지,1215,2021,2,21
258,태양광,58,2021,2,21
259,폐기물,149,2021,2,21
260,LNG,12859,2021,2,22
261,바이오,88,2021,2,22
262,연료전지,1242,2021,2,22
